"id","chat_id","user_message","corrected_message","ai_response","wrong_message","feedback","images","videos","links","created_at","updated_at"
90,221,"i dont know","The cell membrane is a protective barrier that controls what enters and exits the cell. It helps maintain the cell's internal environment.",NULL,NULL,"{""error_type"": ""No Answer Provided"", ""is_correct"": false, ""bubble_color"": ""red"", ""score_percent"": 0, ""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 09:27:13.029","2025-11-03 09:27:13.029"
84,201,"The three main types of friction are static friction, sliding (kitic) friction, and rolling frictin","That's exactly right! The three main types of friction are static friction, kinetic friction, and rolling friction.",NULL,NULL,"{""option_selected"": ""Explain""}","{}","{}","{}","2025-11-03 09:08:51.419","2025-11-03 09:08:51.419"
85,207,"i dont know","A cell is the basic unit of life that makes up all living organisms. Cells perform essential functions that sustain life.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 09:11:55.008","2025-11-03 09:11:55.008"
86,209,"the function of cell membrane is to protect the cell andd decide what enters and exists.","The function of the cell membrane is to protect the cell and decide what enters and exits.",NULL,NULL,"{""option_selected"": ""Explain""}","{}","{}","{}","2025-11-03 09:13:09.103","2025-11-03 09:13:09.103"
87,214,"proteins and carbohydrates",NULL,"What are the main components of a cell?",NULL,"null","{}","{}","{}","2025-11-03 09:15:03.363","2025-11-03 09:15:03.363"
91,223,"the cell memebrane controlss what enters and exis tthe cell","The cell membrane controls what enters and exits the cell. It acts as a barrier and regulates the movement of substances.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 09:27:53.112","2025-11-03 09:27:53.112"
88,216,"The organelle that contains a cell's genetic material is the nucleus.","That's exactly right! The nucleus is the organelle that contains a cell's genetic material.",NULL,NULL,"{""is_correct"": true, ""bubble_color"": ""green"", ""score_percent"": 100, ""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 09:26:14.247","2025-11-03 09:26:14.247"
96,235,"The structure of the cell membrane is a flexible, semi-permeable barrier made primarily of a phospholipid bilayer with embedded proteins, cholesterol, and carbohydrates","That's exactly right! The main components of the cell membrane are phospholipids, proteins, and carbohydrates. The nucleus is not part of the cell membrane.",NULL,NULL,"{""option_selected"": ""Explain""}","{}","{}","{}","2025-11-03 09:41:56.286","2025-11-03 09:41:56.286"
92,225,"the cell membrance controll what to enter and exist , it act as gateway.","The cell membrane controls what enters and exits the cell; it acts as a gateway.",NULL,NULL,"{""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 09:28:48.566","2025-11-03 09:28:48.566"
89,219,"it is power hosue of cell, it playa vital role as power house.","That's exactly right! The mitochondria are the powerhouse of the cell, playing a vital role in energy production.",NULL,NULL,"{""error_type"": ""Spelling, Grammar"", ""is_correct"": false, ""bubble_color"": ""red"", ""score_percent"": 0, ""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 09:26:50.117","2025-11-03 09:26:50.117"
95,232,"The structure of the cell membrane is a flexible, semi-permeable barrier made primarily of a phospholipid bilayer with embedded proteins, cholesterol, and carbohydrates","That's exactly right! The main components of the cell membrane are phospholipids, proteins, and carbohydrates. The nucleus is not part of the cell membrane.",NULL,NULL,"{""is_correct"": true, ""bubble_color"": ""green"", ""score_percent"": 100, ""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 09:41:37.773","2025-11-03 09:41:37.773"
93,227,"The primary function of the cell membrane is to control what enters and exits the cell, maintaining a stable internal environment.","That's exactly right! The cell membrane regulates what enters and exits the cell, helping to maintain homeostasis.",NULL,NULL,"{""is_correct"": true, ""bubble_color"": ""green"", ""score_percent"": 100, ""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 09:40:03.741","2025-11-03 09:40:03.741"
99,248,"Metals are essential in nearly every industrial sector, serving roles from structural support to electrical conduction and precision manufacturing. Their unique properties—like strength",NULL,"What are some specific examples of metals used in the automotive industry?",NULL,"null","{}","{}","{}","2025-11-03 12:21:35.033","2025-11-03 12:21:35.033"
98,246,"Steel plays a foundational role in the construction industry due to its exceptional strenth, flexibility, and durability. It’s the backbome of modern infrastructure, from skyscrapers to bridges.",NULL,"What are some specific uses of metals in the automotive industry?",NULL,"null","{}","{}","{}","2025-11-03 12:20:36.265","2025-11-03 12:20:36.265"
100,250,"Oxcygen is a common non-metal used in both dailly life and industt","That's exactly right! Oxygen is a common non-metal used in daily life and industry, such as in respiration and water purification.",NULL,NULL,"{""error_type"": ""Spelling"", ""is_correct"": false, ""bubble_color"": ""red"", ""score_percent"": 70, ""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 12:31:24.593","2025-11-03 12:31:24.593"
101,252,"it is usedas fertilizer inargiculture","That's exactly right! Non-metals like nitrogen are used as fertilizers in agriculture to enhance plant growth.",NULL,NULL,"{""error_type"": ""Spelling and Grammar"", ""is_correct"": false, ""bubble_color"": ""red"", ""score_percent"": 0, ""option_selected"": ""Explain""}","{}","{}","{}","2025-11-03 12:32:30.82","2025-11-03 12:32:30.82"
118,292,"Bituminous coal is a black, hard coal with high carbon content and calorific value, burning with a smoky flame and used widely for powr ad indusrial purposes.","That's exactly right! Bituminous coal is a black, hard coal with high carbon content and calorific value. It burns with a smoky flame and is widely used for power and industrial purposes.",NULL,NULL,"{""is_correct"": true, ""bubble_color"": ""green"", ""score_percent"": 100, ""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 15:38:00.754","2025-11-03 15:38:00.754"
102,257,"i dont know","Non-metals can have negative effects on the environment, such as pollution from chemicals like sulfur dioxide and nitrogen oxides. These can lead to acid rain and air quality issues.",NULL,NULL,"{""error_type"": ""No Answer Provided"", ""is_correct"": false, ""bubble_color"": ""red"", ""score_percent"": 0, ""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 12:33:07.872","2025-11-03 12:33:07.872"
103,259,"One major environmental impact of using non-metals like phosphorus in agriculture is water pollution through eutrophication",NULL,"What are some proper disposal methods for non-metals to prevent environmental harm?",NULL,"null","{}","{}","{}","2025-11-03 12:34:30.699","2025-11-03 12:34:30.699"
104,261,"thseinclude recycling,compositing",NULL,"What are the proper disposal methods for non-metals to prevent environmental harm?",NULL,"null","{}","{}","{}","2025-11-03 12:35:54.002","2025-11-03 12:35:54.002"
105,263,"iron and copper",NULL,"What are some common characteristics of metals like iron and copper?",NULL,"null","{}","{}","{}","2025-11-03 12:48:21.378","2025-11-03 12:48:21.378"
119,294,"Coal formation mainly involves the **gradual transformation of buried plant remains into carbon-rich fuel under heat, pressure, and long geological time**.","That's exactly right! Coal formation involves the gradual transformation of buried plant remains into carbon-rich fuel through heat, pressure, and long geological time.",NULL,NULL,"{""is_correct"": true, ""bubble_color"": ""green"", ""score_percent"": 100, ""option_selected"": ""Explain""}","{}","{}","{}","2025-11-03 15:39:16.751","2025-11-03 15:39:16.751"
109,272,"it agin electton during chameical reactiona and have covalent bond.","That's exactly right! Metals can gain electrons during chemical reactions and form covalent bonds with non-metals.",NULL,NULL,"{""error_type"": ""Spelling and Grammar"", ""is_correct"": false, ""bubble_color"": ""red"", ""score_percent"": 0, ""option_selected"": ""Got it""}","{}","{}","{}","2025-11-03 12:52:01.232","2025-11-03 12:52:01.232"
